name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
KOMULAINEN Noora,Female,FIN,Finland,Finland,['Golf'],"[""Women's Individual Stroke Play""]",1990-10-30,,,"Husband, Roope Komulainen (married 2017)","English, Finnish",
PULKKANEN Tapio,Male,FIN,Finland,Finland,['Golf'],"[""Men's Individual Stroke Play""]",1990-05-21,"Billiard, tennis, watching movies",,,"English, Finnish",
VALIMAKI Sami,Male,FIN,Finland,Finland,['Golf'],"[""Men's Individual Stroke Play""]",1998-07-16,"Listening to sports podcasts, fishing, playing computer games, spending time in nature",,,"English, Finnish",
WIKSTROM Ursula,Female,FIN,Finland,Finland,['Golf'],"[""Women's Individual Stroke Play""]",1980-07-03,,,"Husband, Mika (married 2005)","English, Finnish",
MITKOVA Plamena,Female,BUL,Bulgaria,Bulgaria,['Athletics'],"[""Women's Long Jump""]",2004-09-18,,,"Mother, Maria",Bulgarian,Personal: Ivaylo Rusinov (BUL)
SARABOYUKOV Bozhidar,Male,BUL,Bulgaria,Bulgaria,['Athletics'],"[""Men's Long Jump""]",2004-08-06,,,"Younger sister, Iren",Bulgarian,Personal: Dimitar Karamfilov (BUL)
LIMA Lia,Female,ANG,Angola,Angola,['Swimming'],"[""Women's 200m Butterfly""]",2001-09-09,,,,,
IVANOV Tihomir,Male,BUL,Bulgaria,Bulgaria,['Athletics'],"[""Men's High Jump""]",1994-07-11,,"Vasil Levski National Sports Academy (Sofia, BUL)","Partner, Eleonora Dragieva","Bulgarian, English",Personal: Georgi Getov (BUL)
MASCARENHAS Henrique,Male,ANG,Angola,Angola,['Swimming'],"[""Men's 100m Freestyle""]",2001-06-21,,,,,
MAKRI Marilena,Female,CYP,Cyprus,Cyprus,['Sailing'],"[""Women's Dinghy""]",2002-11-18,"Volleyball, going to the gym",Mathematics at the Aristotle University of Thessaloniki (GRE) and Sports Science and Physical Education at Frederic University (CYP),"Two older siblings, Stavros and Despoina who also sail","English, Greek",Personal: Harris Tsolis (GRE).<br>Gonçalo Pereira de Carvalho
PETROVA Gabriela,Female,BUL,Bulgaria,Bulgaria,['Athletics'],"[""Women's Triple Jump""]",1992-06-29,,Pedagogy at University of Plovdiv (BUL),,"Bulgarian, English","Personal: Atanas Atanasov (BUL), from 2006"
LAPPA Natasa,Female,CYP,Cyprus,Cyprus,['Sailing'],"[""Women's Windsurfing""]",2001-10-02,Surfing,,,Greek,
KONTIDES Pavlos,Male,CYP,Cyprus,Cyprus,['Sailing'],"[""Men's Dinghy""]",1990-02-11,Table tennis,"Bachelor of Engineering Ship Science at University of Southampton (GBR). Master's in Sports Business at Duquesne University (Pittsburgh, PA, USA)","Son, Leonidas","English, Greek",Jozo Jakelic (CRO)
PELETEIRO-COMPAORE Ana,Female,ESP,Spain,Spain,['Athletics'],"[""Women's Triple Jump""]",1995-12-02,"Fashion, travelling, supporting Spanish football club Celta Vigo, cooking, listening to music",,"Husband, Benjamin Compaore (FRA). Daughter, Lua (born 22 December 2022)",Spanish,"Personal: Ivan Pedroso (CUB), from 2016"
PEREZ Maria,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1996-04-29,,Teaching at Catholic University of Murcia (ESP),"Wife, Noelia Morillas (married in 2023). Father, Luis. Mother, Paqui",Spanish,"Personal: Jacinto Garzon (ESP), since 2008"
PEREZ Marta,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 1500m""]",1993-04-19,,Medicine at Complutense University of Madrid (ESP),"Father, Carlos (physical education teacher). Older sister, Elia. Younger brother, Luis",Spanish,Personal: Antonio Serrano (ESP) since 2011
PEREZ Maria Isabel,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 4 x 100m Relay""]",1993-03-01,,Studied Physiotherapy,,Spanish,Personal: Luis Rodriguez (ESP) - her uncle
ROBLES Carolina,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 3000m Steeplechase""]",1991-12-04,"Animals, drawing, painting, video games",Physical Education,"Partner, Daniel Manzanares","English, Spanish","Personal: Antonio Serrano (ESP), from 2020"
ROJO Yago,Male,ESP,Spain,Spain,['Athletics'],"[""Men's Marathon""]",1995-03-23,,Mechanical Engineering at Madrid Polytechnic University (ESP),,Spanish,"Personal: Juan del Campo (ESP), Luismi Berlanas (ESP)"
SANCHEZ-ESCRIBANO Irene,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 3000m Steeplechase""]",1992-08-25,,Medicine at Universidad Complutense de Madrid (ESP),"Boyfriend, Nicolas Escartin. Father, Tomas (president of her first club Club Atletismo San Ildefonso). Mother, Carmen",Spanish,"Personal: Antonio Serrano (ESP), since 2010"
SANTIDRIAN Eva,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 4 x 400m Relay""]",2000-01-25,,,,Spanish,Juan Herrero
SEGURA Berta,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 4 x 400m Relay""]",2003-06-06,,,,Spanish,
SEVILLA Paula,Female,ESP,Spain,Spain,['Athletics'],"[""Women's 4 x 100m Relay""]",1997-06-28,,,,Spanish,Personal: Jose Luis Calvo (ESP)
SOLER Meritxell,Female,ESP,Spain,Spain,['Athletics'],"[""Women's Marathon""]",1992-07-20,,"Odontology at University of Barcelona (ESP) and Biology at Augustana University (Sioux Falls, SD, USA)","Husband, Abel Casali",Spanish,"Personal: Joan Leonart (ESP), since she started her career in Manresa in 2007"
TOIMIL Maria Belen,Female,ESP,Spain,Spain,['Athletics'],"[""Women's Shot Put""]",1994-05-05,,Marketing and Commercial Management at Universidad Católica de Murcia (ESP),,Spanish,"Personal: Carlos Buron (ESP), from 2013"
URENA Jorge,Male,ESP,Spain,Spain,['Athletics'],"[""Men's Decathlon""]",1993-10-08,,Physical Education at Universidad Catolica San Antonio de Murcia (ESP),"Father, Jose Antonio",Spanish,"Personal: Jose Antonio Urena (ESP), his father. Jesus Gil (ESP)"
ALBERTO Marta,Female,ANG,Angola,Angola,['Handball'],['Women'],1995-02-10,,,,Portuguese,National: Carlos Viver (ESP)
MARTON Richard,Male,HUN,Hungary,Hungary,['Swimming'],"[""Men's 200m Butterfly""]",1999-10-07,Cooking,Budapest Business School (HUN),,"English, Hungarian",Club: Balazs Virth (HUN)
